country_name,region_name,year,population,population_density,population_percent_urban,gdp_per_capita,obesity_rate,pneumonia_deaths_per_100k
Syria,,2020,17500658,92.06710777,54.162,2032.623489,27.8,16.78564351
Taiwan,,2020,23816775,671,79,26910,,33.59103582
Tajikistan,,2020,9537645,68,27.3,827,,39.28
Tanzania,,2020,59734218,63.5790788,33.776,1060.994615,8.4,94.56126331
Thailand,,2020,69799978,135.8972068,49.949,7273.563207,10,40.42401088
Timor-Leste,,2020,1183643,89,30.95,2036,,50.19
Togo,,2020,8608444,270.93,42.25,679,,155.28
Trinidad and Tobago,,2020,1399488,270.9274854,53.184,17129.91309,18.6,20.19768675
Tunisia,,2020,11818619,74.44132338,68.945,3447.50791,26.9,16.03659247
Turkey,,2020,84339067,106.9601289,75.143,9370.176344,32.1,13.36273825
Turkmenistan,,2020,6031187,13,51.59,6967,,23.14
Uganda,,2020,45741007,213.0617345,23.774,642.7767443,5.3,78.81358709
Ukraine,,2020,43733762,77.02966735,69.352,3095.173581,24.1,15.16317002
United Arab Emirates,,2020,9890402,120,86.79,43005,31.7,45.83255643
United Kingdom,England,2020,55980000,426,81.5,43000,,
United Kingdom,Northern Ireland,2020,1882000,133,66,43000,,
United Kingdom,Scotland,2020,5454000,65,71,38600,,
United Kingdom,Wales,2020,3136000,151,81.5,28000,,
United Kingdom,,2020,67886011,275,83.65,42944,27.8,24.11005138
United States,Alabama,2020,4903185,37,59,41389,,21.4
United States,Alaska,2020,731545,0.5,66,74343,,12.1
United States,Arizona,2020,7278717,22.5,90,44161,,12.4
United States,Arkansas,2020,3017804,22,57,39107,,18
United States,California,2020,39512223,95,95,69000,,15.6
United States,Colorado,2020,5758736,19.5,95,61311,,9.7
United States,Connecticut,2020,3565287,287,80,80729,,14.8
United States,Delaware,2020,973764,183.4,85,79160,,13.1
United States,Florida,2020,21477737,141,92,45000,,9.6
United States,Georgia,2020,10617423,67,75,45000,,14.5
United States,Hawaii,2020,1415872,84.4,92,59000,,24.5
United States,Idaho,2020,1787065,7.5,71,41000,,11.9
United States,Illinois,2020,12671821,89.6,89,70000,,16.3
United States,Indiana,2020,6732219,70.8,73,50000,,14
United States,Iowa,2020,3155070,21.4,65,55000,,15.7
United States,Kansas,2020,2913314,13.7,75,60500,,17.1
United States,Kentucky,2020,4467673,43,59,42300,,18.3
United States,Louisiana,2020,4648794,41.3,75,52000,,15.6
United States,Maine,2020,1344212,16.6,38,51000,,15.3
United States,Maryland,2020,6045680,235.8,88,62000,,13.6
United States,Massachusetts,2020,6892503,331.3,93,75300,,15.8
United States,Michigan,2020,9986857,67.7,75,47500,,14.5
United States,Minnesota,2020,5639632,26.3,74,68100,,10
United States,Mississippi,2020,2976149,24.6,50,35000,,26.1
United States,Missouri,2020,6137428,33.9,70,54000,,18.7
United States,Montana,2020,1068778,2.7,56,49000,,10.7
United States,Nebraska,2020,1934408,9.4,75,60000,,16.1
United States,Nevada,2020,3080156,9.8,95,50000,,16
United States,New Hampshire,2020,1359711,57.1,61,65000,,14.3
United States,New Jersey,2020,8882190,467.2,95,72000,,12.6
United States,New Mexico,2020,2096829,6.6,78,51000,,14.2
United States,New York,2020,19453561,161,88,91100,,18.4
United States,North Carolina,2020,10488084,78.2,67,56500,,16.9
United States,North Dakota,2020,762062,4,60,75000,,15.6
United States,Ohio,2020,11689100,109.3,78,53000,,15.7
United States,Oklahoma,2020,3956971,21.7,66,44000,,17.8
United States,Oregon,2020,4217737,15.8,82,53000,,10.2
United States,Pennsylvania,2020,12801989,110.2,78,64000,,15.5
United States,Puerto Rico,2020,3193694,407,93.58,31651,,7
United States,Rhode Island,2020,1059361,392.6,91,52000,,13.3
United States,South Carolina,2020,5148714,61.3,67,49000,,14.5
United States,South Dakota,2020,884659,4.3,57,53500,,20.7
United States,Tennessee,2020,884659,60.8,67,55000,,20.7
United States,Texas,2020,28995881,39.1,85,62000,,12.9
United States,Utah,2020,3205958,13.6,91,51500,,13.4
United States,Vermont,2020,623989,26.3,39,48900,,9.8
United States,Virgin Islands,2020,106405,298,96.3,36000,,5
United States,Virginia,2020,8535519,80.8,76,65500,,13.1
United States,Washington,2020,7614893,40.5,85,80500,,10.9
United States,Washington DC,2020,705749,4000,100,69000,,11.4
United States,West Virginia,2020,1792147,29.8,49,40265,,21.2
United States,Wisconsin,2020,5822434,40.9,71,60000,,14.1
United States,Wyoming,2020,578759,2.3,65,68000,,18.9
United States,,2020,331002651,35.76608858,82.256,62794.58565,36.2,15.88386085
Uruguay,,2020,3473730,19.70802765,95.334,17277.97011,27.9,24.11213092
Uzbekistan,,2020,33469203,77.46920545,50.478,1532.371677,16.6,35.11694115
Vanuatu,,2020,307815,25,25.39,3124,,24.45
Venezuela,,2020,28435940,32.73079191,88.208,16054.49051,25.6,19.74587517
Vietnam,,2020,97338579,308.1252459,35.919,2566.59695,2.1,22.97805645
Yemen,,2020,28498683,56,37.27,945,,57.27
Zambia,,2020,18383955,23.3414789,43.521,1539.900158,8.1,93.85563273
Zimbabwe,,2020,14862924,37.32459093,32.209,2146.996385,15.5,137.6330045
